Location,Variant,Year,PopTotal,PopDensity
Nigeria,Medium,1981,75440.505,82.832
Nigeria,Medium,1982,77427.539,85.013
Nigeria,Medium,1983,79414.841,87.195
Nigeria,Medium,1984,81448.757,89.428
Nigeria,Medium,1985,83562.776,91.75
Nigeria,Medium,1986,85766.396,94.169
Nigeria,Medium,1987,88048.029,96.674
Nigeria,Medium,1988,90395.278,99.251
Nigeria,Medium,1989,92788.039,101.879
Nigeria,Medium,1990,95212.454,104.541
Nigeria,Medium,1991,97667.632,107.236
Nigeria,Medium,1992,100161.708,109.975
Nigeria,Medium,1993,102700.751,112.763
Nigeria,Medium,1994,105293.701,115.61
Nigeria,Medium,1995,107948.339,118.524
Nigeria,Medium,1996,110668.784,121.511
Nigeria,Medium,1997,113457.661,124.573
Nigeria,Medium,1998,116319.763,127.716
Nigeria,Medium,1999,119260.055,130.944
Nigeria,Medium,2000,122283.853,134.264
Nigeria,Medium,2001,125394.046,137.679
Nigeria,Medium,2002,128596.079,141.195
Nigeria,Medium,2003,131900.634,144.823
Nigeria,Medium,2004,135320.42,148.578
Nigeria,Medium,2005,138865.014,152.47
Nigeria,Medium,2006,142538.305,156.503
Nigeria,Medium,2007,146339.971,160.677
Nigeria,Medium,2008,150269.622,164.992
Nigeria,Medium,2009,154324.939,169.444
Nigeria,Medium,2010,158503.203,174.032
Nigeria,Medium,2011,162805.08,178.755
Nigeria,Medium,2012,167228.803,183.613
Nigeria,Medium,2013,171765.819,188.594
Nigeria,Medium,2014,176404.931,193.688
Nigeria,Medium,2015,181137.454,198.884
Nigeria,Medium,2016,185960.244,204.179
Nigeria,Medium,2017,190873.247,209.573
Nigeria,Medium,2018,195874.685,215.065
Nigeria,Medium,2019,200963.603,220.652
